This is an invoice;
;
;
;
Year;2018
InvoiceNo;200500
;
;
Invoice Items;
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
05/11/2018; 52.312,00 kr. 
;
Sum; 1.046.240,00 kr. 
;
